,Female,Male,Возраст,Single,In_relations,Married, [Смартфоны и умные часы], [Портативная техника], [Аудио- и видеотехника], [Всё для геймеров], [Фото- и видеокамеры], [Робототехника и Stem-игрушки], [Игры и приставки], [GPS-навигация], [Техника для дома], [Техника для красоты], [Ноутбуки и настольные ПК], [Аксессуары], [Игрушки и игры], [Коляски и автокресла], [Масла и технические жидкости], [Аксессуары и оборудование], [Автомобильные инструменты], [Противоугонные устройства], [Мототехника], [Мебель], [Велоспорт], [Самокаты], [Моноколеса и гироскутеры], [Скейтбординг], [Роликовые коньки], [Спортивная защита], [Туризм и отдых на природе], [Тренажеры и фитнес], [Уход за волосами], [Уход за лицом], [Уход за телом], [Парфюмерия], [Оптика], [Ортопедические изделия], [Массажеры]," [Чай, кофе, какао]", [Кондитерские изделия], [Здоровое питание], [Все для выпечки], [Алкоголь], [Сумки и чемоданы], [Музыкальные инструменты], [Книги], [Игры для компаний], [Билеты], [Гадания и предсказания], [Квадрокоптеры],автомобили,бьюти-практики,рисование,кино,компьютерные игры,прогулки,рукоделие,садоводство,соцсети,спорт,чтение нон-фикшн/профессиональной литературы,чтение художественной литературы
74,1,0,20,0,1,0,10,10,8,0,0,10,0,0,8,10,10,8,6,0,0,8,0,0,0,0,0,0,10,0,10,0,6,6,8,8,8,8,0,10,10,6,6,6,0,8,6,6,6,0,10,6,10,0,0,0,0,0,0,1,0,0,0,0,1
75,0,1,21,1,0,0,8,10,8,10,8,10,10,6,6,6,10,6,10,0,0,0,0,0,0,0,8,8,6,8,10,8,10,8,6,0,0,6,0,0,0,6,10,6,8,0,8,0,6,10,6,0,8,0,0,0,0,1,0,0,0,1,1,0,0
76,1,0,19,1,0,0,10,8,8,0,10,0,0,6,6,6,8,0,6,0,0,0,0,0,0,6,6,6,0,0,0,8,10,8,6,8,8,6,10,6,8,10,6,8,6,0,8,6,10,6,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1
77,1,0,19,0,1,0,10,10,10,10,10,10,10,6,8,8,10,8,10,0,0,6,0,6,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,6,8,10,10,8,10,0,10,10,8,10,10,0,10,0,0,0,0,1,1,0,0,1,1,1,1
78,0,1,21,1,0,0,8,8,8,8,6,6,8,6,8,0,6,6,8,0,0,0,6,0,8,0,0,8,0,0,0,0,6,8,0,0,0,0,0,0,0,0,8,8,0,6,0,6,8,8,6,0,6,0,0,0,0,1,0,0,0,1,0,0,0
79,1,0,18,0,1,0,10,10,10,0,10,8,6,10,6,6,10,6,10,0,0,6,0,6,0,0,6,10,10,10,8,8,6,8,6,6,6,6,0,0,8,6,6,8,6,0,6,0,10,10,10,8,10,0,0,0,0,0,1,0,0,1,0,1,1
80,1,0,20,1,0,0,10,10,8,8,8,10,8,0,10,10,10,6,8,8,0,0,0,0,0,10,0,8,8,8,8,6,6,8,6,6,6,6,0,0,6,6,6,6,6,6,6,8,8,8,8,0,0,0,0,0,1,1,0,0,0,0,0,1,1
81,1,0,22,0,1,0,8,8,8,10,10,10,10,8,6,0,8,8,8,0,0,0,0,0,8,0,6,6,0,8,6,0,8,8,6,8,8,8,6,0,8,6,6,8,0,6,0,10,8,8,10,0,8,0,0,0,0,1,1,0,0,1,0,0,1
82,0,1,20,1,0,0,10,10,10,0,10,0,0,0,6,8,10,10,0,0,0,0,0,0,0,0,10,10,10,0,10,0,10,10,10,10,10,10,0,0,0,6,6,8,0,8,10,0,10,8,8,0,0,0,0,0,1,0,1,0,0,0,0,1,1
83,1,0,18,0,1,0,10,10,6,0,6,0,0,0,6,0,10,10,6,0,0,0,0,0,0,6,0,0,6,0,0,0,8,6,10,10,10,10,6,6,0,6,10,8,8,10,8,6,10,8,10,0,0,0,1,0,0,0,0,0,0,1,0,0,1
84,1,0,22,0,1,0,0,0,0,0,0,0,0,0,6,8,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,8,10,8,8,8,10,8,8,8,0,10,10,10,10,8,8,8,10,8,0,0,0,0,0,0,0,1,0,0,1,0,1,1
85,1,0,20,0,1,0,8,8,10,6,10,6,6,6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,10,6,6,6,6,8,8,8,8,10,6,6,10,10,10,10,10,6,10,10,10,10,0,8,0,1,0,0,0,1,0,0,1,0,1,0
86,1,0,20,0,1,0,10,10,10,8,10,10,10,10,6,10,10,10,8,0,0,0,0,0,0,6,8,8,8,8,8,6,8,8,10,10,10,10,10,0,0,0,10,0,6,8,6,10,10,8,10,8,10,0,1,0,0,1,0,0,0,1,0,1,1
87,1,0,18,1,0,0,8,8,6,6,6,6,8,0,8,0,8,0,8,0,0,6,0,0,0,6,0,0,0,6,6,0,8,8,8,10,10,6,0,6,0,0,6,6,6,0,6,0,6,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
88,1,0,15,1,0,0,10,10,10,10,8,10,10,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,6,0,0,8,10,8,10,0,0,0,0,1,0,0,1,0,0,1,0,0,0
89,0,1,16,1,0,0,10,8,8,10,10,10,10,8,10,0,10,8,8,0,8,8,8,10,10,8,8,8,10,8,8,8,10,10,10,8,10,10,8,0,8,10,8,8,8,0,8,10,8,8,10,0,8,0,0,0,0,1,1,0,1,1,1,0,0
90,1,0,20,1,0,0,10,10,10,8,10,6,8,0,0,8,8,8,8,0,0,0,0,0,0,6,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,8,10,10,10,0,6,0,0,0,0,0,1,0,0,1,1,1,1
91,1,0,22,1,0,0,10,10,10,0,10,0,0,6,0,8,10,10,0,0,0,0,0,0,0,10,10,10,8,8,10,10,0,10,10,10,10,10,10,6,6,6,6,6,6,6,6,8,10,0,8,0,10,0,1,0,0,0,1,1,0,1,1,1,1
92,1,0,20,0,1,0,10,10,10,6,10,6,10,0,10,10,10,8,6,0,0,8,0,0,0,10,0,0,0,8,8,6,10,10,10,10,10,8,6,0,10,10,10,8,10,10,10,10,10,10,10,0,8,0,1,0,0,0,0,1,0,1,0,1,1
